"filename", "language", "Markdown", "JavaScript", "JSON", "YAML", "Svelte", "CSS", "XML", "HTML", "TypeScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Ramy\maison\README.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39
"c:\Users\Ramy\maison\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 1, 20
"c:\Users\Ramy\maison\package.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Ramy\maison\pnpm-lock.yaml", "YAML", 0, 0, 0, 1614, 0, 0, 0, 0, 0, 0, 0, 231, 1845
"c:\Users\Ramy\maison\src\app.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7, 2, 14
"c:\Users\Ramy\maison\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Ramy\maison\src\lib\Components\Container.svelte", "Svelte", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\Ramy\maison\src\lib\Components\Image.svelte", "Svelte", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Users\Ramy\maison\src\lib\Components\Image3D.svelte", "Svelte", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Ramy\maison\src\lib\Components\Link.svelte", "Svelte", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 23, 130
"c:\Users\Ramy\maison\src\lib\Components\LinkIcon.svelte", "Svelte", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 9, 48
"c:\Users\Ramy\maison\src\lib\Components\Links.svelte", "Svelte", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\Ramy\maison\src\lib\Components\Logo\First.svelte", "Svelte", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Ramy\maison\src\lib\Components\Logo\Logo.svelte", "Svelte", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 17, 105
"c:\Users\Ramy\maison\src\lib\Components\Logo\Second.svelte", "Svelte", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Ramy\maison\src\lib\Components\Notification.svelte", "Svelte", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 16, 104
"c:\Users\Ramy\maison\src\lib\Components\Page.svelte", "Svelte", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 21, 128
"c:\Users\Ramy\maison\src\lib\Components\WhatsApp.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Ramy\maison\src\lib\Components\ui\Button.svelte", "Svelte", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 13, 59
"c:\Users\Ramy\maison\src\lib\Pages\Home\AvailableModels.svelte", "Svelte", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 25, 155
"c:\Users\Ramy\maison\src\lib\Pages\Home\Frames.svelte", "Svelte", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 22, 113
